a,b,c,d,e,f,g,h,i,j,k,l,target
18.99,4398.2,10,75000,33.5,0,0,0,39,20,1,1,1
25.69,6524.3,10,75000,33.69,1,2,0,30,20,1,1,1
13.99,5467.7,10,75000,33.7,0,0,0,40,20,-1,1,1
21.49,6826.9,10,75000,33.73,0,0,0,30,30,1,1,1
13.49,2035.9,10,75000,34.8,0,0,0,45,20,-1,1,1
13.49,7361.6,10,75000,40.27,0,0,0,32,20,1,1,1
25.49,4979.5,10,74915,26.53,0,1,0,42,5,1,0,0
30.99,7911.4,4,74800,24.45,0,0,0,32,10,1,0,0
10.49,3008.5,8,74638,34.41,0,2,0,39,20,1,1,1
15.99,2917.6,1,74630,24.92,3,1,0,25,10,1,1,0
13.49,2850.2,3,74600,17.63,0,0,1,22,30,1,1,1
7.99,1253.3,10,74600,25.02,0,1,1,36,15,1,0,0
7.99,3305.5,1,74500,12.55,2,1,0,29,10,1,0,1
30.49,9796.6,3,74500,15.72,0,2,1,37,30,1,1,1
14.99,5119.7,10,74500,15.38,0,0,0,33,10,1,0,0
6.99,3396,10,74500,15.53,0,4,0,29,10,-1,0,0
11.49,1978.3,10,74500,27.27,0,0,0,42,10,1,0,0
19.99,9772.7,10,74479,28.67,0,1,1,46,30,-1,1,1
18.99,8796.3,2,74476,34.45,0,0,0,34,30,1,0,1
17.99,8675.4,2,74418,14.96,0,0,0,36,25,1,1,0
11.44,2306.4,10,74400,16.68,0,0,0,26,30,-1,1,1
5.32,2710.4,10,74100,26.33,0,0,0,55,5,-1,0,0
11.44,1466.2,6,74033,30,0,0,0,36,20,1,0,0
11.39,5267.8,1,74000,17.48,0,0,1,32,10,-1,0,0
11.49,4747.9,1,74000,18.55,0,0,0,44,10,1,0,0
5.32,3011.5,1,74000,22.11,0,1,0,44,30,1,1,0
21.49,1896.4,2,74000,9.03,0,0,0,43,30,1,0,0
11.49,3297.2,2,74000,18,0,1,0,36,20,-1,1,1
13.49,3450.8,2,74000,19.69,0,1,0,32,5,1,0,0
11.49,2472.9,2,74000,23.92,0,2,0,36,30,1,1,1
19.99,9289.7,2,74000,24.67,0,0,0,28,20,1,1,1
29.49,10901.9,3,74000,7.28,0,1,1,37,30,1,1,1
18.99,3665.1,3,74000,12,0,1,1,49,30,1,0,1
15.99,3890.1,3,74000,12.78,0,1,0,31,30,1,1,1
13.49,5089.6,3,74000,15.75,0,0,0,39,10,1,0,0
17.99,3524.4,3,74000,20.15,9,1,0,34,30,1,0,1
13.49,3450.8,3,74000,21.1,2,0,1,47,20,-1,1,1
11.49,4945.7,3,74000,26.71,0,3,0,32,20,1,1,1
14.99,3466.1,4,74000,12.07,0,0,0,25,10,1,1,1
15.99,6186.8,4,74000,16.75,0,1,0,30,30,1,0,0
29.49,6408.2,4,74000,30.3,0,2,0,35,10,1,1,1
13.49,3393.1,5,74000,10.1,0,1,0,26,30,1,0,0
28.88,3166.9,5,74000,25.54,0,0,0,36,20,1,1,1
11.49,1978.3,6,74000,10.9,0,0,0,32,20,1,1,1
18.99,7330.2,6,74000,27.86,0,2,0,26,20,-1,1,1
14.99,1663.8,6,74000,31.19,0,0,0,29,10,1,1,1
14.99,5946.2,7,74000,21.65,0,0,0,37,30,1,1,1
11.49,3297.2,7,74000,23.78,0,0,0,40,20,1,0,0
24.74,9509.4,7,74000,30.77,0,0,0,52,30,1,0,1
11.44,4612.7,8,74000,21.42,1,1,1,32,10,1,0,0
25.29,5904.4,8,74000,27.28,2,2,1,26,20,1,1,1
5.32,4517.3,10,74000,5.5,0,0,0,27,30,1,0,0
14.99,1733.1,10,74000,9.54,2,2,0,42,30,1,0,0
11.49,2472.9,10,74000,9.58,0,0,1,46,30,1,0,0
11.39,1975.5,10,74000,10.61,0,0,1,29,40,1,0,0
26.24,8190.1,10,74000,11.76,1,0,0,32,30,1,1,1
12.74,1409.9,10,74000,14.7,0,1,2,45,20,1,1,1
25.49,960.5,10,74000,16.27,0,1,0,30,10,1,0,0
8.59,4109.3,10,74000,16.41,0,0,0,23,20,1,1,1
17.99,6347,10,74000,16.83,0,0,0,36,30,1,1,1
17.99,1590.5,10,74000,17.15,0,4,1,31,20,1,1,1
17.99,9036.9,10,74000,17.5,0,3,0,28,30,1,0,0
7.49,5598.3,10,74000,18.52,0,0,0,36,20,1,0,0
14.99,3422.8,10,74000,18.79,3,0,1,38,30,1,1,0
13.99,1025.2,10,74000,21.52,2,0,0,28,20,-1,1,0
13.49,1357.3,10,74000,21.96,0,3,0,33,40,1,1,0
14.99,5545.7,10,74000,22.04,1,0,0,30,30,-1,0,1
11.49,3297.2,10,74000,22.72,0,0,2,32,30,1,1,1
22.74,5888.7,10,74000,23.22,0,1,1,38,20,1,1,1
13.99,6979,10,74000,23.95,2,0,0,34,5,1,0,0
25.49,9017.8,10,74000,25.09,0,0,0,29,10,-1,0,1
13.99,6219.5,10,74000,27.36,0,0,1,29,30,1,0,0
30.94,9880,10,74000,31.12,0,0,0,41,20,-1,1,1
14.49,1239,10,73956,31.54,0,0,0,44,20,1,1,1
15.99,7030.5,1,73662,23.4,1,2,0,35,10,1,1,0
12.74,5102.5,10,73632,8.2,0,0,0,48,20,1,1,0
16.99,10694.4,9,73619.76,31.69,0,0,0,34,20,1,1,1
14.99,2253,5,73600,31.52,0,0,0,26,20,1,1,1
17.99,10844.3,6,73600,4.23,0,1,0,30,30,1,1,1
18.99,3631,10,73600,27.1,0,1,0,50,30,1,0,0
15.99,7293.9,1,73560,12.43,0,0,0,28,20,1,1,1
14.99,3466.1,4,73510,16.08,1,1,0,46,30,1,0,0
22.74,8973.3,1,73500,9.5,1,1,1,33,20,1,1,1
16.99,4277.8,1,73500,22.51,0,0,0,37,20,1,1,1
12.74,4699.7,4,73500,30.23,0,0,0,27,30,1,0,0
17.99,8885.8,7,73500,28.38,0,2,0,35,10,1,0,0
7.24,3098.7,10,73500,18.69,0,0,0,26,30,1,1,0
15.99,1757.7,5,73465,12.86,0,5,1,25,20,1,1,1
13.49,3393.1,10,73400,16.6,0,0,0,38,20,1,0,0
11.49,4945.7,10,73399.68,25.65,0,0,0,33,20,1,1,1
30.94,9880,10,73300,30.93,0,0,0,27,20,1,1,1
19.99,9754.2,10,73216,33.11,0,0,0,45,30,1,1,1
17.99,2843.5,10,73200,18.9,0,1,1,30,20,1,1,0
15.99,2431.3,9,73102.8,33.35,0,1,0,30,30,1,0,0
16.99,8555.5,3,73032,25.96,0,1,0,27,20,1,1,1
11.39,1975.5,10,73032,13.13,0,0,0,39,30,1,1,0
7.99,3446.5,1,73000,25.09,0,0,1,29,50,1,0,0
26.24,9032.4,1,73000,30.46,2,1,1,35,20,1,1,1
22.74,8973.3,1,73000,31.1,0,0,0,44,20,1,1,1
13.49,2375.2,1,73000,31.48,0,1,0,31,30,1,1,0
16.99,9981.4,1,73000,49.89,0,0,0,41,15,-1,1,0
17.99,13193.8,2,73000,26.96,0,0,0,39,30,1,1,1
22.39,12727.2,2,73000,33.54,2,0,0,25,20,1,1,1
13.49,3393.1,3,73000,10.67,0,2,0,46,30,1,1,1
15.59,3146,3,73000,12.51,0,0,0,48,20,1,1,1
13.99,683.5,3,73000,18.31,0,3,0,34,20,1,1,1
7.49,5442.8,3,73000,18.68,0,1,0,29,31.25,-1,0,0
23.99,9022.4,3,73000,20.72,0,1,0,50,10,1,0,0
7.99,4535.3,3,73000,30.17,0,0,0,32,10,1,0,0
7.99,4511.8,5,73000,16.29,0,3,1,36,30,1,0,0
19.99,3121.4,6,73000,12.95,1,3,1,45,10,1,0,1
11.39,3950.9,6,73000,25.94,0,0,0,49,10,1,1,0
17.99,6093.2,7,73000,6.43,0,1,2,41,10,1,0,1
17.99,12136.5,7,73000,11.8,0,0,0,30,30,1,0,1
10.49,5199.7,7,73000,14.32,0,1,0,31,30,1,0,0
22.74,10800.9,7,73000,29.85,0,0,0,35,10,1,0,0
7.99,1253.3,8,73000,14.4,0,0,0,43,30,1,0,0
15.99,9833.8,8,73000,24.57,0,1,0,49,20,1,1,1
11.44,1647.4,9,73000,16.09,0,2,0,31,10,1,0,0
14.99,3805.6,9,73000,27.65,0,1,0,36,15,1,0,1
11.39,1317,10,73000,4.97,0,0,0,39,10,1,0,0
18.99,2235.8,10,73000,5.36,0,1,1,34,40,-1,1,0
15.99,4522.2,10,73000,9.35,0,0,1,36,10,-1,1,0
14.99,1776.4,10,73000,9.83,0,2,0,28,20,1,1,0
14.99,4376.4,10,73000,14.56,0,2,1,29,30,-1,0,0
18.99,3734.7,10,73000,15.55,0,2,0,37,20,1,1,1
13.99,5689.8,10,73000,16.06,1,0,0,39,30,1,1,1
13.99,5466.9,10,73000,16.93,0,0,0,32,20,1,1,0
11.44,6260.1,10,73000,18,1,0,0,39,30,1,0,1
21.49,9102.6,10,73000,19.35,0,0,0,30,30,-1,0,0
24.49,6783.9,10,73000,21.42,0,0,0,45,20,1,1,1
17.99,4316,10,73000,21.77,0,1,0,49,20,1,1,1
13.49,4572.2,10,73000,23.57,1,1,0,38,30,1,1,1
18.99,3830.1,10,73000,23.89,1,2,0,28,20,1,0,0
11.44,6589.5,10,73000,24.54,0,1,1,32,20,-1,1,1
13.99,5467.7,10,73000,24.81,0,2,0,29,10,1,0,0
21.49,6559.2,10,73000,25.11,0,2,0,36,30,-1,0,0
10.49,3802.3,10,73000,25.14,1,0,1,23,10,1,1,1
30.49,8008.7,10,73000,26.48,1,0,0,27,30,1,1,1
11.39,8231,10,73000,27.31,0,1,0,53,20,1,1,1
11.49,1187,10,73000,29.16,6,0,0,29,30,1,1,1
13.99,5126,10,73000,29.92,1,0,0,33,40,1,1,0
25.49,3556.8,10,73000,31.79,0,2,0,29,30,1,0,0
14.99,6585.5,10,73000,32.58,0,0,2,49,30.77,1,1,0
11.44,988.5,10,73000,34.51,1,0,0,36,30,-1,0,0
15.99,2917.6,1,72960,20.74,1,1,0,26,30,1,1,1
28.69,7572.9,4,72900,17.86,0,1,0,40,30,1,1,0
7.99,7833,1,72835,28.34,0,0,0,28,30,1,1,0
14.99,3633.2,4,72815,26.68,0,1,0,35,10,-1,1,0
11.49,1978.3,1,72800,11,0,1,0,39,30,1,1,1
29.99,9202.8,3,72800,21.41,0,0,0,31,10,1,0,1
8.24,4717.1,5,72800,11.75,0,0,1,44,30,1,0,0
10.49,471.3,7,72800,31.15,1,0,0,55,30,1,0,1
13.49,3868.1,9,72800,18.74,0,0,1,29,10,1,1,0
14.99,2668.9,10,72800,20.23,0,1,0,39,10,1,0,0
17.99,2114.7,10,72800,32.28,3,0,0,41,30,1,0,0
7.24,3098.7,10,72780,32.68,0,0,0,23,10,-1,0,0
21.49,7652.4,10,72625,22.12,1,0,0,38,30,1,1,0
13.49,5291.1,1,72600,29.11,0,0,0,50,10,1,0,0
13.49,2035.9,5,72600,33.57,0,1,0,42,20,1,1,1
22.74,13433.6,3,72562,31.05,0,0,0,35,20,1,1,1
12.74,3393.1,10,72542,12.51,0,0,0,54,30,1,0,1
14.99,2772.9,4,72500,5.98,0,0,0,34,10,1,1,0
11.44,1647.4,4,72500,7.07,0,0,1,27,40,-1,0,0
21.49,6832.5,10,72500,24.26,2,1,0,46,20,1,0,0
8.59,8850.6,10,72500,34.81,0,0,0,35,20,-1,1,1
29.49,6408.2,6,72499,19.57,2,1,0,37,30,1,1,1
7.24,3098.7,4,72400,28.24,0,1,0,50,20,1,1,0
10.49,4874.7,10,72400,12.22,0,1,1,30,30,1,0,0
23.99,3138.3,8,72219,2.89,0,1,0,47,20,1,1,1
12.74,2349.9,4,72200,29.52,0,0,0,39,20,1,0,0
11.49,2472.9,10,72200,12.75,0,1,2,40,33,1,0,0
12.74,3826.9,10,72132,18.06,0,2,1,27,10,-1,0,0
7.99,6266.4,1,72000,7.3,0,1,0,44,20,1,1,1
19.99,7069.5,1,72000,9.73,0,0,0,26,30,1,0,1
8.24,1886.9,1,72000,10.06,0,0,0,42,10,1,0,0
19.99,2648.9,1,72000,12.84,0,2,0,41,30,1,0,0
8.24,1132.1,1,72000,14.12,0,0,0,35,10,1,0,0
21.49,4153.1,1,72000,14.68,0,0,0,53,30,1,1,0
14.99,5708.4,1,72000,16.63,0,0,0,54,30,-1,0,1
21.49,9565.5,1,72000,16.63,0,0,0,33,20,1,1,1
17.99,6093.2,1,72000,17.11,0,0,0,52,20,1,0,0
7.49,3110.2,1,72000,17.3,0,0,0,47,10,-1,0,0
17.99,3046.6,1,72000,18.57,0,1,1,44,30,1,0,0
13.49,4071.7,1,72000,18.65,0,0,1,47,10,1,0,0
11.49,6833.3,1,72000,18.98,0,1,0,48,30,-1,1,1
23.99,1961.4,1,72000,20.67,0,1,0,32,30,1,0,0
14.99,970.5,1,72000,21.15,0,0,0,32,30,1,0,0
17.99,10844.3,1,72000,21.53,1,1,1,45,30,1,1,1
26.24,7219.9,1,72000,24.69,0,2,0,30,30,1,0,0
12.74,1007.1,1,72000,25.01,1,1,0,36,10,1,0,1
14.99,4994.8,1,72000,25.67,0,1,0,29,10,1,0,1
16.99,2138.9,1,72000,25.94,1,0,0,44,5,1,0,0
16.99,11799.5,1,72000,26.45,0,1,0,32,30,1,1,1
13.49,2760.6,1,72000,26.82,0,4,1,25,10,1,1,1
18.99,10995.3,1,72000,28.42,0,1,2,48,30,-1,1,1
15.99,5835.1,1,72000,28.65,0,0,0,24,10,1,1,1
17.99,4569.9,1,72000,28.93,2,0,0,31,30,1,1,1
18.99,3518.5,1,72000,29.08,0,1,0,36,20,1,1,1
22.74,3365,1,72000,29.73,2,3,1,45,20,1,1,1
19.99,5032.8,1,72000,30.63,3,0,0,41,30,1,1,1
12.74,2417,1,72000,33.73,0,0,1,41,20,1,0,1
13.99,4784.2,2,72000,5.76,0,5,0,45,10,1,0,0
21.49,5461.6,2,72000,7.15,0,1,0,29,40,1,0,0
11.39,1777.9,2,72000,9.45,0,0,1,54,30,1,1,1
8.99,1144.7,2,72000,10.88,0,3,0,39,20,1,1,1
7.99,3133.2,2,72000,11.82,0,1,1,31,20,-1,0,0
25.69,10244,2,72000,14.02,0,0,1,25,20,1,1,1
13.49,4580.7,2,72000,14.73,1,3,1,37,30,1,0,1
19.99,4238.2,2,72000,15.9,0,2,1,40,30,1,0,1
11.39,3160.7,2,72000,17.3,0,0,0,50,30,1,1,1
14.99,2426.3,2,72000,18.02,0,0,0,29,20,1,1,1
11.39,2140.1,2,72000,18.78,0,1,0,44,10,1,0,0
13.99,2605.5,2,72000,19.07,1,0,1,43,20,1,1,1
11.44,3953.7,2,72000,19.57,0,0,0,46,30,1,0,1
22.74,7039.9,2,72000,21.7,0,1,0,29,30,1,1,0
11.39,2633.9,2,72000,22.41,0,0,0,54,30,1,0,0
15.99,2838.6,2,72000,22.72,0,3,0,33,20,1,1,1
18.99,3078.7,2,72000,23.5,1,2,1,34,20,1,1,1
21.49,8199,2,72000,26.46,0,0,0,34,20,-1,1,1
7.24,3098.7,2,72000,32.02,0,0,0,29,30,1,1,0
15.99,2847.4,3,72000,6.48,1,1,0,47,20,1,1,1
10.49,4874.7,3,72000,7.37,0,0,0,45,30,-1,1,0
12.74,10070.7,3,72000,12.33,0,1,0,38,10,1,1,1
19.99,4767.9,3,72000,12.58,0,2,0,31,20,1,1,1
11.44,3163,3,72000,14.25,1,2,0,41,10,-1,0,0
22.74,6057,3,72000,16.52,9,1,0,38,30,1,0,1
14.99,7486.7,3,72000,17.62,1,0,0,31,20,1,0,0
16.99,2994.5,3,72000,18.78,1,1,0,30,30,1,0,0
11.49,1187,3,72000,24.87,0,1,0,31,20,1,1,0
24.74,5839.9,3,72000,24.93,4,0,0,33,10,1,0,1
30.74,11483.3,3,72000,30.85,0,1,0,57,25,1,1,1
29.96,7759,4,72000,3.74,0,2,0,40,20,1,1,1
10.49,9424.4,4,72000,3.93,0,0,1,35,30,1,0,0
7.24,2479,4,72000,11.27,0,0,1,42,30,1,1,0
10.49,1170,4,72000,17.85,1,0,0,42,10,1,1,0
11.39,395.1,4,72000,19.58,1,0,0,49,20,1,1,1
12.74,3222.7,4,72000,23.42,0,1,1,34,30,1,1,1
14.99,11775.9,4,72000,24.55,1,1,0,32,10,1,0,0
13.99,2896.2,4,72000,26.25,0,0,0,30,20,1,1,0
22.74,5888.7,5,72000,7.38,1,2,0,33,30,1,1,1
12.74,3356.9,5,72000,8.62,0,1,1,26,30,1,0,1
6.99,2469.9,5,72000,23.67,0,0,0,33,5,1,0,0
22.74,3365,5,72000,24.15,1,0,1,54,50,1,0,0
7.24,929.7,5,72000,26.72,3,0,0,43,25,-1,0,1
15.99,7030.5,5,72000,26.9,1,1,0,31,30,1,1,0
11.44,6149.5,5,72000,30.67,1,1,0,29,40,1,0,0
18.99,3267.9,5,72000,33.87,0,1,0,30,46,-1,1,0
25.49,6003,5,72000,34.26,1,0,0,24,20,-1,1,1
11.39,13169.5,5,72000,43.7,0,1,0,46,10,1,0,1
19.99,2648.9,6,72000,8.12,0,5,0,27,30,1,1,1
17.99,10844.3,6,72000,18.92,0,1,1,35,30,1,1,1
17.99,10844.3,6,72000,19,0,0,0,34,10,1,0,1
8.24,629,6,72000,19.95,0,0,1,55,30,1,0,0
22.74,13886.8,6,72000,20,0,1,0,30,30,-1,0,0
22.74,4281.8,6,72000,24.78,11,0,1,25,30,1,0,1
15.99,6807.6,6,72000,24.81,0,0,0,43,30,1,0,0
11.49,3956.6,6,72000,27.63,4,0,0,34,5,-1,0,0
22.74,5608.3,7,72000,5.73,0,4,0,50,10,1,0,0
11.49,3791.7,7,72000,8.25,0,1,0,28,20,1,1,1
14.99,5708.4,7,72000,11.28,0,0,0,31,30,-1,0,0
7.24,4648.1,7,72000,14.48,0,0,0,27,15,1,1,0
19.99,4988.6,7,72000,16.8,1,2,0,41,10,1,0,0
11.39,2930.3,7,72000,17.87,0,0,2,48,30,1,0,0
15.99,2917.6,7,72000,24.47,3,1,0,31,30,1,0,0
15.99,5348.9,8,72000,6.37,1,1,0,27,30,1,0,0
11.49,1986.6,8,72000,16.38,0,1,0,28,30,1,1,1
21.49,11378.2,8,72000,24.86,0,1,0,53,20,1,1,1
14.99,2079.7,8,72000,28.48,0,0,0,27,30,1,1,1
10.49,3899.8,8,72000,28.67,0,1,1,29,20,1,1,1
21.49,5739.3,8,72000,34.03,0,0,1,29,20,1,1,1
11.49,1318.9,9,72000,12.32,0,1,1,28,30,-1,0,1
21.49,3641.1,9,72000,20.93,0,1,0,51,20,-1,0,0
11.49,8572.6,9,72000,24.22,4,0,0,37,20,1,1,1
8.24,3144.8,10,72000,2.22,0,0,0,30,15,-1,0,0
17.99,3808.2,10,72000,2.22,0,3,0,30,30,1,1,0
14.99,3567.8,10,72000,2.68,0,0,0,30,30,1,0,1
7.24,2014.2,10,72000,5.43,0,0,0,44,40,1,0,0
15.99,2109.2,10,72000,6,0,0,0,34,40,1,0,0
13.99,6834.6,10,72000,6.13,0,0,0,38,20,1,1,0
14.99,9930.3,10,72000,8.55,0,1,1,34,5,1,0,0
5.32,3372.9,10,72000,8.75,0,0,1,48,10,-1,0,1
15.99,2917.6,10,72000,9.47,1,0,0,32,20,1,1,1
14.99,3466.1,10,72000,10.27,0,0,0,44,30,1,1,0
8.24,3144.8,10,72000,10.5,0,1,0,31,30,1,1,0
30.84,7681.5,10,72000,10.8,1,1,0,29,30,1,1,1
11.39,2633.9,10,72000,11.37,0,0,0,52,10,-1,0,0
5.32,1445.6,10,72000,12.21,0,1,1,28,10,1,1,0
17.99,4874.5,10,72000,12.58,0,0,0,28,10,1,0,0
22.39,1996.5,10,72000,12.63,0,5,0,37,20,-1,1,1
10.49,3899.8,10,72000,13.67,0,0,1,28,30,1,1,0
25.49,7409.9,10,72000,14.9,0,2,0,34,20,1,1,1
8.24,4717.1,10,72000,15.35,0,0,3,44,30.05,1,1,0
8.24,3466.6,10,72000,16.43,0,0,0,27,20,1,1,0
17.99,3046.6,10,72000,16.92,0,0,0,38,10,1,0,0
14.99,4043.4,10,72000,16.93,0,0,0,26,30,1,1,1
22.74,3098.6,10,72000,17.15,0,0,0,35,30,1,0,1
13.49,848.3,10,72000,17.28,0,0,0,35,30,1,1,1
11.39,2193.8,10,72000,17.37,1,0,0,40,10,1,1,0
13.99,5126,10,72000,18.03,0,1,0,28,10,1,0,1
14.99,5545.7,10,72000,18.23,1,0,1,26,50,1,0,0
11.49,1055.1,10,72000,18.58,1,0,1,30,10,1,0,1
16.99,10694.4,10,72000,19,0,0,0,32,20,1,0,0
7.99,2506.6,10,72000,19.17,0,0,0,31,30,1,1,0
21.49,3279.6,10,72000,19.59,0,2,0,39,20,1,1,1
13.99,2791.6,10,72000,19.72,0,2,0,26,40,1,0,0
21.49,3641.1,10,72000,20.13,0,1,0,30,10,1,0,0
7.49,3110.2,10,72000,20.2,0,0,0,41,30,1,0,0
11.49,1937.1,10,72000,20.68,0,0,0,52,20,1,0,0
13.49,4601,10,72000,20.95,0,2,0,28,20,1,1,1
17.99,6347,10,72000,21.37,2,0,0,28,20,1,1,1
13.49,3864.8,10,72000,21.58,0,0,0,29,30,1,0,0
16.99,2994.5,10,72000,21.72,0,0,1,28,30,1,1,1
21.49,6121.9,10,72000,21.97,0,1,0,28,30,1,1,1
25.49,8804.3,10,72000,21.98,0,4,0,39,30,1,0,0
18.99,9107.8,10,72000,22.18,0,0,0,32,25,1,1,1
5.32,3613.8,10,72000,23.08,1,1,0,41,30,-1,1,1
10.49,910,10,72000,23.33,0,2,1,46,30,1,0,1
18.99,5764.1,10,72000,23.39,1,0,0,31,30,-1,1,0
14.99,4994.8,10,72000,23.9,0,0,1,41,30,1,1,1
13.99,7219,10,72000,23.98,0,0,0,33,30,1,0,0
13.49,5089.6,10,72000,23.99,0,1,0,48,10,1,0,0
12.74,335.7,10,72000,24,0,0,0,30,10,1,0,0
21.49,12136.7,10,72000,25.47,0,0,0,32,10,1,0,0
23.99,10042.3,10,72000,26.67,0,1,0,38,30,1,1,0
22.39,8830.3,10,72000,27.52,0,3,0,29,20,1,1,1
19.99,4459.1,10,72000,27.68,2,0,0,49,50,-1,0,1
30.94,3293.4,10,72000,27.88,1,1,0,36,10,1,0,1
13.99,3954.8,10,72000,28.58,0,0,0,36,30,1,1,1
11.39,2633.9,10,72000,28.67,0,0,0,37,10,1,0,0
13.49,9500.6,10,72000,28.9,0,0,0,49,30,1,0,0
11.44,6589.5,10,72000,29.2,0,1,0,40,30,1,1,1
21.49,6654.8,10,72000,30.72,0,0,0,37,30,1,1,1
15.99,4921.3,10,72000,30.79,1,0,0,42,20,1,1,0
14.99,5199.1,10,72000,31.08,0,0,0,29,20,1,0,0
21.49,8931.9,10,72000,34.12,0,0,0,48,20,1,1,0
15.99,11635.4,10,72000,34.18,1,0,0,35,30,-1,0,0
17.99,5693.3,10,72000,34.3,0,1,0,36,40,-1,1,0
15.59,6025.2,10,71906.56,17.56,0,0,0,32,20,-1,1,1
22.74,3365,7,71879,30.46,0,0,0,32,10,1,0,0
29.49,3412.4,1,71800,23.71,0,2,2,42,10,1,0,0
22.74,8412.4,10,71645,29.18,0,0,0,27,30,1,0,0
8.24,3181.1,3,71640,13.15,1,0,0,34,30,1,0,0
11.39,3292.4,10,71590,16.85,0,0,1,45,30,1,0,0
11.44,4392.5,9,71585,29.52,0,1,0,36,20,1,1,1
13.99,4271.6,1,71500,5.45,2,0,0,33,20,1,1,1
15.99,8788.1,4,71500,18.33,0,0,1,36,10,1,0,0
11.49,1978.3,5,71500,13.95,0,0,1,28,10,-1,0,1
15.99,10545.7,2,71400,29.97,0,0,1,29,10,1,1,0
26.24,10739.6,10,71400,19.38,1,0,0,42,30,1,1,0
7.49,1866.1,6,71300,11.75,0,0,1,33,30,1,0,0
12.74,2685.6,2,71272,30.98,0,1,1,35,30,1,1,1
7.49,2643.7,10,71250,19.82,0,0,0,37,10,-1,0,0
19.99,5304.4,10,71200,15.27,0,1,0,31,20,1,1,1
12.74,10498.7,10,71095,27.43,0,2,0,35,30,1,0,0
13.99,5583.2,5,71032,22.86,0,1,1,46,30,-1,0,1
30.49,5224.9,10,71015.68,25.28,0,0,0,51,10,1,0,0
22.74,7003.4,1,71000,11.46,0,0,0,43,30,1,0,1
25.49,5927.9,1,71000,15.18,0,0,0,28,30,-1,1,1
14.99,8104.7,1,71000,20.55,0,0,0,46,40,-1,0,0
16.99,8912,1,71000,23.01,2,0,0,43,30,1,1,1
12.74,3356.9,1,71000,26.3,1,2,0,39,20,1,1,1
10.99,3273.4,2,71000,13.79,5,1,0,28,20,-1,1,1
12.74,4834,2,71000,20.03,0,0,0,44,30,1,0,0
13.49,2714.5,3,71000,13.83,0,2,0,25,30,1,1,1
11.39,3948.8,3,71000,20.47,0,0,0,56,10,1,1,1
11.44,1647.4,3,71000,34.8,2,0,0,51,20,-1,1,1
5.32,3011.5,4,71000,14.08,0,0,0,37,40,-1,0,0
27.49,10065.7,5,71000,12.75,1,1,0,27,30,1,1,1
11.44,922.6,5,71000,13.66,0,0,0,32,30,-1,0,0
15.59,10486.5,5,71000,18.85,0,0,0,28,20,1,1,1
13.49,4546.7,5,71000,32.94,0,0,1,26,20,1,1,0
10.49,8124.5,6,71000,6.29,0,0,1,27,40,-1,1,0
11.49,989.2,6,71000,11.52,0,0,0,26,30,1,0,0
14.99,2253,6,71000,14.79,0,1,0,26,20,1,1,1
17.99,6397.8,7,71000,10.8,1,0,0,27,30,1,1,0
22.74,8973.3,8,71000,11.26,0,0,0,29,30,1,1,1
11.49,6924,8,71000,14.11,0,1,0,31,20,1,1,1
24.74,7883.8,9,71000,27.85,1,0,1,33,40,1,0,0
21.49,3792.8,10,71000,5.44,0,0,0,43,10,1,0,0
16.99,2495.4,10,71000,8.59,1,0,0,33,10,1,1,1
23.99,12807.9,10,71000,9.36,0,2,1,36,30,1,1,1
12.74,3845.5,10,71000,9.74,0,0,2,38,30,1,0,0
10.49,6499.6,10,71000,10.5,0,0,0,28,30,1,0,0
10.49,1462.4,10,71000,12.05,0,0,0,40,50,1,0,0
18.99,3665.1,10,71000,15.8,0,2,0,38,30,1,1,0
17.99,4062.1,10,71000,16.31,0,0,2,52,30,1,1,1
26.24,9024.9,10,71000,17.33,0,1,0,40,30,1,1,1
18.99,10995.3,10,71000,17.68,0,0,1,37,10,-1,0,0
11.44,2635.5,10,71000,17.8,0,1,0,38,20,-1,1,1
7.49,622.1,10,71000,19.05,2,0,0,39,10,1,0,0
22.74,9814.5,10,71000,19.61,0,0,0,31,30,1,0,0
7.24,1549.4,10,71000,19.73,2,1,1,38,31.82,1,0,0
25.49,8061.9,10,71000,22.68,2,0,1,51,30,1,0,0
11.44,4942.2,10,71000,24.46,0,0,0,36,30,-1,0,1
11.44,3294.8,10,71000,25.84,2,0,0,32,40,-1,0,0
8.24,2358.6,10,71000,26.06,0,0,0,31,30,1,0,0
13.49,4292.3,10,71000,30.34,0,1,0,49,30,1,1,0
21.49,11378.2,10,71000,33.16,0,1,1,38,20,1,1,1
17.99,3253.3,5,70870,20.22,1,2,0,45,20,-1,1,1
10.49,4874.7,7,70821,17.4,1,0,0,42,20,1,0,0
29.49,5447,10,70764,21.96,0,1,1,44,10,1,1,1
15.99,7293.9,5,70720,23.89,0,2,0,43,30,1,0,1
13.99,5126,8,70720,8.03,2,1,1,39,20,-1,1,1
16.99,7889,8,70596,20.23,1,1,1,33,30,1,1,1
10.49,1137.5,10,70593,7.12,0,0,0,42,30,1,0,0
15.99,7030.5,2,70500,16.03,3,1,0,41,30,1,0,0
30.84,3615.9,10,70500,28.17,0,0,1,30,20,1,1,0
6.99,2408.1,1,70476,11.63,1,0,0,32,10,1,0,0
11.44,6260.1,10,70408,16.23,1,0,0,28,30,1,0,0
17.99,6347,10,70360,16.94,2,0,0,29,30,1,1,1
